VARIABLE NAME,developer-friendly name,NAME OF DATA ELEMENT,SOURCE,dev-category
PCIP46,program_percentage.construction,Percentage of degrees awarded in Construction Trades.,IPEDS,academics
PCIP47,program_percentage.mechanic_repair_technology,Percentage of degrees awarded in Mechanic And Repair Technologies/Technicians.,IPEDS,academics
PCIP48,program_percentage.precision_production,Percentage of degrees awarded in Precision Production.,IPEDS,academics
PCIP49,program_percentage.transportation,Percentage of degrees awarded in Transportation And Materials Moving.,IPEDS,academics
PCIP50,program_percentage.visual_performing,Percentage of degrees awarded in Visual And Performing Arts.,IPEDS,academics
PCIP51,program_percentage.health,Percentage of degrees awarded in Health Professions And Related Programs.,IPEDS,academics
PCIP52,program_percentage.business_marketing,"Percentage of degrees awarded in Business, Management, Marketing, And Related Support Services.",IPEDS,academics
PCIP54,program_percentage.history,Percentage of degrees awarded in History.,IPEDS,academics
CIP01CERT1,program.certificate_lt_1_yr.agriculture,"Certificate of less than one academic year in Agriculture, Agriculture Operations, And Related Sciences.",IPEDS,academics
CIP01CERT2,program.certificate_lt_2_yr.agriculture,"Certificate of at least one but less than two academic years in Agriculture, Agriculture Operations, And Related Sciences.",IPEDS,academics
CIP01ASSOC,program.assoc.agriculture,"Associate degree in Agriculture, Agriculture Operations, And Related Sciences.",IPEDS,academics
CIP01CERT4,program.certificate_lt_4_yr.agriculture,"Award of at least two but less than four academic years in Agriculture, Agriculture Operations, And Related Sciences.",IPEDS,academics
CIP01BACHL,program.bachelors.agriculture,"Bachelor's degree in Agriculture, Agriculture Operations, And Related Sciences.",IPEDS,academics
CIP03CERT1,program.certificate_lt_1_yr.resources,Certificate of less than one academic year in Natural Resources And Conservation.,IPEDS,academics
CIP03CERT2,program.certificate_lt_2_yr.resources,Certificate of at least one but less than two academic years in Natural Resources And Conservation.,IPEDS,academics
CIP03ASSOC,program.assoc.resources,Associate degree in Natural Resources And Conservation.,IPEDS,academics
CIP03CERT4,program.certificate_lt_4_yr.resources,Award of at least two but less than four academic years in Natural Resources And Conservation.,IPEDS,academics
CIP03BACHL,program.bachelors.resources,Bachelor's degree in Natural Resources And Conservation.,IPEDS,academics
CIP04CERT1,program.certificate_lt_1_yr.architecture,Certificate of less than one academic year in Architecture And Related Services.,IPEDS,academics
CIP04CERT2,program.certificate_lt_2_yr.architecture,Certificate of at least one but less than two academic years in Architecture And Related Services.,IPEDS,academics
CIP04ASSOC,program.assoc.architecture,Associate degree in Architecture And Related Services.,IPEDS,academics
CIP04CERT4,program.certificate_lt_4_yr.architecture,Award of at least two but less than four academic years in Architecture And Related Services.,IPEDS,academics
CIP04BACHL,program.bachelors.architecture,Bachelor's degree in Architecture And Related Services.,IPEDS,academics
CIP05CERT1,program.certificate_lt_1_yr.ethnic_cultural_gender,"Certificate of less than one academic year in Area, Ethnic, Cultural, Gender, And Group Studies.",IPEDS,academics
CIP05CERT2,program.certificate_lt_2_yr.ethnic_cultural_gender,"Certificate of at least one but less than two academic years in Area, Ethnic, Cultural, Gender, And Group Studies.",IPEDS,academics
CIP05ASSOC,program.assoc.ethnic_cultural_gender,"Associate degree in Area, Ethnic, Cultural, Gender, And Group Studies.",IPEDS,academics
CIP05CERT4,program.certificate_lt_4_yr.ethnic_cultural_gender,"Award of at least two but less than four academic years in Area, Ethnic, Cultural, Gender, And Group Studies.",IPEDS,academics
CIP05BACHL,program.bachelors.ethnic_cultural_gender,"Bachelor's degree in Area, Ethnic, Cultural, Gender, And Group Studies.",IPEDS,academics
CIP09CERT1,program.certificate_lt_1_yr.communication,"Certificate of less than one academic year in Communication, Journalism, And Related Programs.",IPEDS,academics
CIP09CERT2,program.certificate_lt_2_yr.communication,"Certificate of at least one but less than two academic years in Communication, Journalism, And Related Programs.",IPEDS,academics
CIP09ASSOC,program.assoc.communication,"Associate degree in Communication, Journalism, And Related Programs.",IPEDS,academics
CIP09CERT4,program.certificate_lt_4_yr.communication,"Award of at least two but less than four academic years in Communication, Journalism, And Related Programs.",IPEDS,academics
CIP09BACHL,program.bachelors.communication,"Bachelor's degree in Communication, Journalism, And Related Programs.",IPEDS,academics
CIP10CERT1,program.certificate_lt_1_yr.communications_technology,Certificate of less than one academic year in Communications Technologies/Technicians And Support Services.,IPEDS,academics
CIP10CERT2,program.certificate_lt_2_yr.communications_technology,Certificate of at least one but less than two academic years in Communications Technologies/Technicians And Support Services.,IPEDS,academics
CIP10ASSOC,program.assoc.communications_technology,Associate degree in Communications Technologies/Technicians And Support Services.,IPEDS,academics
CIP10CERT4,program.certificate_lt_4_yr.communications_technology,Award of at least two but less than four academic years in Communications Technologies/Technicians And Support Services.,IPEDS,academics
CIP10BACHL,program.bachelors.communications_technology,Bachelor's degree in Communications Technologies/Technicians And Support Services.,IPEDS,academics
CIP11CERT1,program.certificate_lt_1_yr.computer,Certificate of less than one academic year in Computer And Information Sciences And Support Services.,IPEDS,academics
CIP11CERT2,program.certificate_lt_2_yr.computer,Certificate of at least one but less than two academic years in Computer And Information Sciences And Support Services.,IPEDS,academics
CIP11ASSOC,program.assoc.computer,Associate degree in Computer And Information Sciences And Support Services.,IPEDS,academics
CIP11CERT4,program.certificate_lt_4_yr.computer,Award of at least two but less than four academic years in Computer And Information Sciences And Support Services.,IPEDS,academics
CIP11BACHL,program.bachelors.computer,Bachelor's degree in Computer And Information Sciences And Support Services.,IPEDS,academics
CIP12CERT1,program.certificate_lt_1_yr.personal_culinary,Certificate of less than one academic year in Personal And Culinary Services.,IPEDS,academics
CIP12CERT2,program.certificate_lt_2_yr.personal_culinary,Certificate of at least one but less than two academic years in Personal And Culinary Services.,IPEDS,academics
CIP12ASSOC,program.assoc.personal_culinary,Associate degree in Personal And Culinary Services.,IPEDS,academics
CIP12CERT4,program.certificate_lt_4_yr.personal_culinary,Award of at least two but less than four academic years in Personal And Culinary Services.,IPEDS,academics
CIP12BACHL,program.bachelors.personal_culinary,Bachelor's degree in Personal And Culinary Services.,IPEDS,academics
CIP13CERT1,program.certificate_lt_1_yr.education,Certificate of less than one academic year in Education.,IPEDS,academics
CIP13CERT2,program.certificate_lt_2_yr.education,Certificate of at least one but less than two academic years in Education.,IPEDS,academics
CIP13ASSOC,program.assoc.education,Associate degree in Education.,IPEDS,academics
CIP13CERT4,program.certificate_lt_4_yr.education,Award of at least two but less than four academic years in Education.,IPEDS,academics
CIP13BACHL,program.bachelors.education,Bachelor's degree in Education.,IPEDS,academics
CIP14CERT1,program.certificate_lt_1_yr.engineering,Certificate of less than one academic year in Engineering.,IPEDS,academics
CIP14CERT2,program.certificate_lt_2_yr.engineering,Certificate of at least one but less than two academic years in Engineering.,IPEDS,academics
CIP14ASSOC,program.assoc.engineering,Associate degree in Engineering.,IPEDS,academics
CIP14CERT4,program.certificate_lt_4_yr.engineering,Award of at least two but less than four academic years in Engineering.,IPEDS,academics
CIP14BACHL,program.bachelors.engineering,Bachelor's degree in Engineering.,IPEDS,academics
CIP15CERT1,program.certificate_lt_1_yr.engineering_technology,Certificate of less than one academic year in Engineering Technologies And Engineering-Related Fields.,IPEDS,academics
CIP15CERT2,program.certificate_lt_2_yr.engineering_technology,Certificate of at least one but less than two academic years in Engineering Technologies And Engineering-Related Fields.,IPEDS,academics
CIP15ASSOC,program.assoc.engineering_technology,Associate degree in Engineering Technologies And Engineering-Related Fields.,IPEDS,academics
CIP15CERT4,program.certificate_lt_4_yr.engineering_technology,Award of at least two but less than four academic years in Engineering Technologies And Engineering-Related Fields.,IPEDS,academics
CIP15BACHL,program.bachelors.engineering_technology,Bachelor's degree in Engineering Technologies And Engineering-Related Fields.,IPEDS,academics
CIP16CERT1,program.certificate_lt_1_yr.language,"Certificate of less than one academic year in Foreign Languages, Literatures, And Linguistics.",IPEDS,academics
CIP16CERT2,program.certificate_lt_2_yr.language,"Certificate of at least one but less than two academic years in Foreign Languages, Literatures, And Linguistics.",IPEDS,academics
CIP16ASSOC,program.assoc.language,"Associate degree in Foreign Languages, Literatures, And Linguistics.",IPEDS,academics
CIP16CERT4,program.certificate_lt_4_yr.language,"Award of at least two but less than four academic years in Foreign Languages, Literatures, And Linguistics.",IPEDS,academics
CIP16BACHL,program.bachelors.language,"Bachelor's degree in Foreign Languages, Literatures, And Linguistics.",IPEDS,academics
CIP19CERT1,program.certificate_lt_1_yr.family_consumer_science,Certificate of less than one academic year in Family And Consumer Sciences/Human Sciences.,IPEDS,academics
CIP19CERT2,program.certificate_lt_2_yr.family_consumer_science,Certificate of at least one but less than two academic years in Family And Consumer Sciences/Human Sciences.,IPEDS,academics
CIP19ASSOC,program.assoc.family_consumer_science,Associate degree in Family And Consumer Sciences/Human Sciences.,IPEDS,academics
CIP19CERT4,program.certificate_lt_4_yr.family_consumer_science,Award of at least two but less than four academic years in Family And Consumer Sciences/Human Sciences.,IPEDS,academics
CIP19BACHL,program.bachelors.family_consumer_science,Bachelor's degree in Family And Consumer Sciences/Human Sciences.,IPEDS,academics
CIP22CERT1,program.certificate_lt_1_yr.legal,Certificate of less than one academic year in Legal Professions And Studies.,IPEDS,academics
CIP22CERT2,program.certificate_lt_2_yr.legal,Certificate of at least one but less than two academic years in Legal Professions And Studies.,IPEDS,academics
CIP22ASSOC,program.assoc.legal,Associate degree in Legal Professions And Studies.,IPEDS,academics
CIP22CERT4,program.certificate_lt_4_yr.legal,Award of at least two but less than four academic years in Legal Professions And Studies.,IPEDS,academics
CIP22BACHL,program.bachelors.legal,Bachelor's degree in Legal Professions And Studies.,IPEDS,academics
CIP23CERT1,program.certificate_lt_1_yr.english,Certificate of less than one academic year in English Language And Literature/Letters.,IPEDS,academics
CIP23CERT2,program.certificate_lt_2_yr.english,Certificate of at least one but less than two academic years in English Language And Literature/Letters.,IPEDS,academics
CIP23ASSOC,program.assoc.english,Associate degree in English Language And Literature/Letters.,IPEDS,academics
CIP23CERT4,program.certificate_lt_4_yr.english,Award of at least two but less than four academic years in English Language And Literature/Letters.,IPEDS,academics
CIP23BACHL,program.bachelors.english,Bachelor's degree in English Language And Literature/Letters.,IPEDS,academics
CIP24CERT1,program.certificate_lt_1_yr.humanities,"Certificate of less than one academic year in Liberal Arts And Sciences, General Studies And Humanities.",IPEDS,academics
CIP24CERT2,program.certificate_lt_2_yr.humanities,"Certificate of at least one but less than two academic years in Liberal Arts And Sciences, General Studies And Humanities.",IPEDS,academics
CIP24ASSOC,program.assoc.humanities,"Associate degree in Liberal Arts And Sciences, General Studies And Humanities.",IPEDS,academics
CIP24CERT4,program.certificate_lt_4_yr.humanities,"Award of at least two but less than four academic years in Liberal Arts And Sciences, General Studies And Humanities.",IPEDS,academics
CIP24BACHL,program.bachelors.humanities,"Bachelor's degree in Liberal Arts And Sciences, General Studies And Humanities.",IPEDS,academics
CIP25CERT1,program.certificate_lt_1_yr.library,Certificate of less than one academic year in Library Science.,IPEDS,academics
CIP25CERT2,program.certificate_lt_2_yr.library,Certificate of at least one but less than two academic years in Library Science.,IPEDS,academics
CIP25ASSOC,program.assoc.library,Associate degree in Library Science.,IPEDS,academics
CIP25CERT4,program.certificate_lt_4_yr.library,Award of at least two but less than four academic years in Library Science.,IPEDS,academics
CIP25BACHL,program.bachelors.library,Bachelor's degree in Library Science.,IPEDS,academics
CIP26CERT1,program.certificate_lt_1_yr.biological,Certificate of less than one academic year in Biological And Biomedical Sciences.,IPEDS,academics
CIP26CERT2,program.certificate_lt_2_yr.biological,Certificate of at least one but less than two academic years in Biological And Biomedical Sciences.,IPEDS,academics
CIP26ASSOC,program.assoc.biological,Associate degree in Biological And Biomedical Sciences.,IPEDS,academics
CIP26CERT4,program.certificate_lt_4_yr.biological,Award of at least two but less than four academic years in Biological And Biomedical Sciences.,IPEDS,academics
CIP26BACHL,program.bachelors.biological,Bachelor's degree in Biological And Biomedical Sciences.,IPEDS,academics
CIP27CERT1,program.certificate_lt_1_yr.mathematics,Certificate of less than one academic year in Mathematics And Statistics.,IPEDS,academics
CIP27CERT2,program.certificate_lt_2_yr.mathematics,Certificate of at least one but less than two academic years in Mathematics And Statistics.,IPEDS,academics
CIP27ASSOC,program.assoc.mathematics,Associate degree in Mathematics And Statistics.,IPEDS,academics
CIP27CERT4,program.certificate_lt_4_yr.mathematics,Award of at least two but less than four academic years in Mathematics And Statistics.,IPEDS,academics
CIP27BACHL,program.bachelors.mathematics,Bachelor's degree in Mathematics And Statistics.,IPEDS,academics
CIP29CERT1,program.certificate_lt_1_yr.military,Certificate of less than one academic year in Military Technologies And Applied Sciences.,IPEDS,academics
CIP29CERT2,program.certificate_lt_2_yr.military,Certificate of at least one but less than two academic years in Military Technologies And Applied Sciences.,IPEDS,academics
CIP29ASSOC,program.assoc.military,Associate degree in Military Technologies And Applied Sciences.,IPEDS,academics
CIP29CERT4,program.certificate_lt_4_yr.military,Award of at least two but less than four academic years in Military Technologies And Applied Sciences.,IPEDS,academics
CIP29BACHL,program.bachelors.military,Bachelor's degree in Military Technologies And Applied Sciences.,IPEDS,academics
CIP30CERT1,program.certificate_lt_1_yr.multidiscipline,Certificate of less than one academic year in Multi/Interdisciplinary Studies.,IPEDS,academics
CIP30CERT2,program.certificate_lt_2_yr.multidiscipline,Certificate of at least one but less than two academic years in Multi/Interdisciplinary Studies.,IPEDS,academics
CIP30ASSOC,program.assoc.multidiscipline,Associate degree in Multi/Interdisciplinary Studies.,IPEDS,academics
CIP30CERT4,program.certificate_lt_4_yr.multidiscipline,Award of at least two but less than four academic years in Multi/Interdisciplinary Studies.,IPEDS,academics
CIP30BACHL,program.bachelors.multidiscipline,Bachelor's degree in Multi/Interdisciplinary Studies.,IPEDS,academics
CIP31CERT1,program.certificate_lt_1_yr.parks_recreation_fitness,"Certificate of less than one academic year in Parks, Recreation, Leisure, And Fitness Studies.",IPEDS,academics
CIP31CERT2,program.certificate_lt_2_yr.parks_recreation_fitness,"Certificate of at least one but less than two academic years in Parks, Recreation, Leisure, And Fitness Studies.",IPEDS,academics
