VARIABLE NAME,developer-friendly name,NAME OF DATA ELEMENT,SOURCE,dev-category
OMACHT8_PELL_FTNFT,outcome_cohort_pell.full_time.not_first_time.8yr,"Adjusted cohort count of full-time, not first-time Pell Grant recipient students (denominator for the 8-year outcomes percentages)",IPEDS,completion
OMAWDP8_PELL_FTNFT,outcome_percentage_pell.full_time.not_first_time.8yr.award,"Percentage of full-time, not first-time Pell Grant recipient students receiving an award within 8 years of entry",IPEDS,completion
OMENRYP8_PELL_FTNFT,outcome_percentage_pell.full_time.not_first_time.8yr.still_enrolled,"Percentage of full-time, not first-time Pell Grant recipient students that did not receive an award and are still enrolled at this institution 8 years after entry",IPEDS,completion
OMENRAP8_PELL_FTNFT,outcome_percentage_pell.full_time.not_first_time.8yr.transfer,"Percentage of full-time, not first-time Pell Grant recipient students that did not receive an award and enrolled at another institution after leaving this institution within 8 years of entry",IPEDS,completion
OMENRUP8_PELL_FTNFT,outcome_percentage_pell.full_time.not_first_time.8yr.unknown,"Percentage of full-time, not first-time Pell Grant recipient students that did not receive an award and whose enrollment status is unknown after leaving this institution within 8 years of entry",IPEDS,completion
OMACHT8_PELL_PTNFT,outcome_cohort_pell.part_time.not_first_time.8yr,"Adjusted cohort count of part-time, not first-time Pell Grant recipient students (denominator for the 8-year outcomes percentages)",IPEDS,completion
OMAWDP8_PELL_PTNFT,outcome_percentage_pell.part_time.not_first_time.8yr.award,"Percentage of part-time, not first-time Pell Grant recipient students receiving an award within 8 years of entry",IPEDS,completion
OMENRYP8_PELL_PTNFT,outcome_percentage_pell.part_time.not_first_time.8yr.still_enrolled,"Percentage of part-time, not first-time Pell Grant recipient students that did not receive an award and are still enrolled at this institution 8 years after entry",IPEDS,completion
OMENRAP8_PELL_PTNFT,outcome_percentage_pell.part_time.not_first_time.8yr.transfer,"Percentage of part-time, not first-time Pell Grant recipient students that did not receive an award and enrolled at another institution after leaving this institution within 8 years of entry",IPEDS,completion
OMENRUP8_PELL_PTNFT,outcome_percentage_pell.part_time.not_first_time.8yr.unknown,"Percentage of part-time, not first-time Pell Grant recipient students that did not receive an award and whose enrollment status is unknown after leaving this institution within 8 years of entry",IPEDS,completion
OMACHT8_PELL_FTFT_POOLED,outcome_cohort_pell.full_time.first_time.8yr_pooled,"Adjusted cohort count of full-time, first-time Pell Grant recipient students (denominator for the 8-year outcomes percentages), pooled across years.",IPEDS,completion
OMACHT8_PELL_PTFT_POOLED,outcome_cohort_pell.part_time.first_time.8yr_pooled,"Adjusted cohort count of part-time, first-time Pell Grant recipient students (denominator for the 8-year outcomes percentages), pooled across years.",IPEDS,completion
OMACHT8_PELL_FTNFT_POOLED,outcome_cohort_pell.full_time.not_first_time.8yr_pooled,"Adjusted cohort count of full-time, not first-time Pell Grant recipient students (denominator for the 8-year outcomes percentages), pooled across years.",IPEDS,completion
OMACHT8_PELL_PTNFT_POOLED,outcome_cohort_pell.part_time.not_first_time.8yr_pooled,"Adjusted cohort count of part-time, not first-time Pell Grant recipient students (denominator for the 8-year outcomes percentages), pooled across years.",IPEDS,completion
OMAWDP8_PELL_FTFT_POOLED,outcome_percentage_pell.full_time.first_time.8yr.award_pooled,"Percentage of full-time, first-time Pell Grant recipient students receiving an award within 8 years of entry, pooled in rolling averages.",IPEDS,completion
OMENRYP8_PELL_FTFT_POOLED,outcome_percentage_pell.full_time.first_time.8yr.still_enrolled_pooled,"Percentage of full-time, first-time Pell Grant recipient students that did not receive an award and are still enrolled at this institution 8 years after entry, pooled in rolling averages.",IPEDS,completion
OMENRAP8_PELL_FTFT_POOLED,outcome_percentage_pell.full_time.first_time.8yr.transfer_pooled,"Percentage of full-time, first-time Pell Grant recipient students that did not receive an award and enrolled at another institution after leaving this institution within 8 years of entry, pooled in rolling averages.",IPEDS,completion
OMENRUP8_PELL_FTFT_POOLED,outcome_percentage_pell.full_time.first_time.8yr.unknown_pooled,"Percentage of full-time, first-time Pell Grant recipient students that did not receive an award and whose enrollment status is unknown after leaving this institution within 8 years of entry, pooled in rolling averages.",IPEDS,completion
OMAWDP8_PELL_PTFT_POOLED,outcome_percentage_pell.part_time.first_time.8yr.award_pooled,"Percentage of part-time, first-time Pell Grant recipient students receiving an award within 8 years of entry, pooled in rolling averages.",IPEDS,completion
OMENRYP8_PELL_PTFT_POOLED,outcome_percentage_pell.part_time.first_time.8yr.still_enrolled_pooled,"Percentage of part-time, first-time Pell Grant recipient students that did not receive an award and are still enrolled at this institution 8 years after entry, pooled in rolling averages.",IPEDS,completion
OMENRAP8_PELL_PTFT_POOLED,outcome_percentage_pell.part_time.first_time.8yr.transfer_pooled,"Percentage of part-time, first-time Pell Grant recipient students that did not receive an award and enrolled at another institution after leaving this institution within 8 years of entry, pooled in rolling averages.",IPEDS,completion
OMENRUP8_PELL_PTFT_POOLED,outcome_percentage_pell.part_time.first_time.8yr.unknown_pooled,"Percentage of part-time, first-time Pell Grant recipient students that did not receive an award and whose enrollment status is unknown after leaving this institution within 8 years of entry, pooled in rolling averages.",IPEDS,completion
OMAWDP8_PELL_FTNFT_POOLED,outcome_percentage_pell.full_time.not_first_time.8yr.award_pooled,"Percentage of full-time, not first-time Pell Grant recipient students receiving an award within 8 years of entry, pooled in rolling averages.",IPEDS,completion
OMENRYP8_PELL_FTNFT_POOLED,outcome_percentage_pell.full_time.not_first_time.8yr.still_enrolled_pooled,"Percentage of full-time, not first-time Pell Grant recipient students that did not receive an award and are still enrolled at this institution 8 years after entry, pooled in rolling averages.",IPEDS,completion
OMENRAP8_PELL_FTNFT_POOLED,outcome_percentage_pell.full_time.not_first_time.8yr.transfer_pooled,"Percentage of full-time, not first-time Pell Grant recipient students that did not receive an award and enrolled at another institution after leaving this institution within 8 years of entry, pooled in rolling averages.",IPEDS,completion
OMENRUP8_PELL_FTNFT_POOLED,outcome_percentage_pell.full_time.not_first_time.8yr.unknown_pooled,"Percentage of full-time, not first-time Pell Grant recipient students that did not receive an award and whose enrollment status is unknown after leaving this institution within 8 years of entry, pooled in rolling averages.",IPEDS,completion
OMAWDP8_PELL_PTNFT_POOLED,outcome_percentage_pell.part_time.not_first_time.8yr.award_pooled,"Percentage of part-time, not first-time Pell Grant recipient students receiving an award within 8 years of entry, pooled in rolling averages.",IPEDS,completion
OMENRYP8_PELL_PTNFT_POOLED,outcome_percentage_pell.part_time.not_first_time.8yr.still_enrolled_pooled,"Percentage of part-time, not first-time Pell Grant recipient students that did not receive an award and are still enrolled at this institution 8 years after entry, pooled in rolling averages.",IPEDS,completion
OMENRAP8_PELL_PTNFT_POOLED,outcome_percentage_pell.part_time.not_first_time.8yr.transfer_pooled,"Percentage of part-time, not first-time Pell Grant recipient students that did not receive an award and enrolled at another institution after leaving this institution within 8 years of entry, pooled in rolling averages.",IPEDS,completion
OMENRUP8_PELL_PTNFT_POOLED,outcome_percentage_pell.part_time.not_first_time.8yr.unknown_pooled,"Percentage of part-time, not first-time Pell Grant recipient students that did not receive an award and whose enrollment status is unknown after leaving this institution within 8 years of entry, pooled in rolling averages.",IPEDS,completion
OMENRYP_PELL_ALL_POOLED,outcome_percentage_pell.all_students.8yr.still_enrolled_pooled,"Percentage of all Pell Grant recipient students that did not receive an award and are still enrolled at this institution 8 years after entry, pooled in rolling averages and suppressed for small n size",IPEDS,completion
OMENRAP_PELL_ALL_POOLED,outcome_percentage_pell.all_students.8yr.transfer_pooled,"Percentage of all Pell Grant recipient students that did not receive an award and enrolled at another institution after leaving this institution within 8 years of entry, pooled in rolling averages and suppressed for small n size",IPEDS,completion
OMAWDP8_PELL_ALL_POOLED,outcome_percentage_pell.all_students.8yr.award_pooled,"Percentage of all Pell Grant recipient students receiving an award within 8 years of entry, pooled in rolling averages and suppressed for small n size",IPEDS,completion
OMENRUP_PELL_ALL_POOLED,outcome_percentage_pell.all_students.8yr.unknown_pooled,"Percentage of all Pell Grant recipient students that did not receive an award and whose enrollment status is unknown after leaving this institution within 8 years of entry, pooled in rolling averages and suppressed for small n size",IPEDS,completion
OMENRYP_PELL_FTT_POOLED,outcome_percentage_pell.first_time.8yr.still_enrolled_pooled,"Percentage of first-time Pell Grant recipient students that did not receive an award and are still enrolled at this institution 8 years after entry, pooled in rolling averages and suppressed for small n size",IPEDS,completion
OMENRAP_PELL_FTT_POOLED,outcome_percentage_pell.first_time.8yr.transfer_pooled,"Percentage of first-time Pell Grant recipient students that did not receive an award and enrolled at another institution after leaving this institution within 8 years of entry, pooled in rolling averages and suppressed for small n size",IPEDS,completion
OMAWDP8_PELL_FTT_POOLED,outcome_percentage_pell.first_time.8yr.award_pooled,"Percentage of first-time Pell Grant recipient students receiving an award within 8 years of entry, pooled in rolling averages and suppressed for small n size",IPEDS,completion
OMENRUP_PELL_FTT_POOLED,outcome_percentage_pell.first_time.8yr.unknown_pooled,"Percentage of first-time Pell Grant recipient students that did not receive an award and whose enrollment status is unknown after leaving this institution within 8 years of entry, pooled in rolling averages and suppressed for small n size",IPEDS,completion
OMENRYP_PELL_NFT_POOLED,outcome_percentage_pell.not_first_time.8yr.still_enrolled_pooled,"Percentage of not first-time Pell Grant recipient students that did not receive an award and are still enrolled at this institution 8 years after entry, pooled in rolling averages and suppressed for small n size",IPEDS,completion
OMENRAP_PELL_NFT_POOLED,outcome_percentage_pell.not_first_time.8yr.transfer_pooled,"Percentage of not first-time Pell Grant recipient students that did not receive an award and enrolled at another institution after leaving this institution within 8 years of entry, pooled in rolling averages and suppressed for small n size",IPEDS,completion
OMAWDP8_PELL_NFT_POOLED,outcome_percentage_pell.not_first_time.8yr.award_pooled,"Percentage of not first-time Pell Grant recipient students receiving an award within 8 years of entry, pooled in rolling averages and suppressed for small n size",IPEDS,completion
OMENRUP_PELL_NFT_POOLED,outcome_percentage_pell.not_first_time.8yr.unknown_pooled,"Percentage of not first-time Pell Grant recipient students that did not receive an award and whose enrollment status is unknown after leaving this institution within 8 years of entry, pooled in rolling averages and suppressed for small n size",IPEDS,completion
OMENRYP_PELL_FT_POOLED,outcome_percentage_pell.full_time.8yr.still_enrolled_pooled,"Percentage of full-time Pell Grant recipient students that did not receive an award and are still enrolled at this institution 8 years after entry, pooled in rolling averages and suppressed for small n size",IPEDS,completion
OMENRAP_PELL_FT_POOLED,outcome_percentage_pell.full_time.8yr.transfer_pooled,"Percentage of full-time Pell Grant recipient students that did not receive an award and enrolled at another institution after leaving this institution within 8 years of entry, pooled in rolling averages and suppressed for small n size",IPEDS,completion
OMAWDP8_PELL_FT_POOLED,outcome_percentage_pell.full_time.8yr.award_pooled,"Percentage of full-time Pell Grant recipient students receiving an award within 8 years of entry, pooled in rolling averages and suppressed for small n size",IPEDS,completion
OMENRUP_PELL_FT_POOLED,outcome_percentage_pell.full_time.8yr.unknown_pooled,"Percentage of full-time Pell Grant recipient students that did not receive an award and whose enrollment status is unknown after leaving this institution within 8 years of entry, pooled in rolling averages and suppressed for small n size",IPEDS,completion
OMENRYP_PELL_PT_POOLED,outcome_percentage_pell.part_time.8yr.still_enrolled_pooled,"Percentage of part-time Pell Grant recipient students that did not receive an award and are still enrolled at this institution 8 years after entry, pooled in rolling averages and suppressed for small n size",IPEDS,completion
OMENRAP_PELL_PT_POOLED,outcome_percentage_pell.part_time.8yr.transfer_pooled,"Percentage of part-time Pell Grant recipient students that did not receive an award and enrolled at another institution after leaving this institution within 8 years of entry, pooled in rolling averages and suppressed for small n size",IPEDS,completion
OMAWDP8_PELL_PT_POOLED,outcome_percentage_pell.part_time.8yr.award_pooled,"Percentage of part-time Pell Grant recipient students receiving an award within 8 years of entry, pooled in rolling averages and suppressed for small n size",IPEDS,completion
OMENRUP_PELL_PT_POOLED,outcome_percentage_pell.part_time.8yr.unknown_pooled,"Percentage of part-time Pell Grant recipient students that did not receive an award and whose enrollment status is unknown after leaving this institution within 8 years of entry, pooled in rolling averages and suppressed for small n size",IPEDS,completion
POOLYRSOM_PELL_FTFT,outcome_years_pell.full_time.first_time,Years used for rolling averages of outcome metrics OM[ACHT6/AWDP6/ACHT8/AWDP8/ENRAP8/ENRYP8/ENRUP8]_PELL_FTFT_POOLED,IPEDS,completion
POOLYRSOM_PELL_PTFT,outcome_years_pell.part_time.first_time,Years used for rolling averages of outcome metrics OM[ACHT6/AWDP6/ACHT8/AWDP8/ENRAP8/ENRYP8/ENRUP8]_PELL_PTFT_POOLED,IPEDS,completion
POOLYRSOM_PELL_FTNFT,outcome_years_pell.full_time.not_first_time,Years used for rolling averages of outcome metrics OM[ACHT6/AWDP6/ACHT8/AWDP8/ENRAP8/ENRYP8/ENRUP8]_PELL_FTNFT_POOLED,IPEDS,completion
POOLYRSOM_PELL_PTNFT,outcome_years_pell.part_time.not_first_time,Years used for rolling averages of outcome metrics OM[ACHT6/AWDP6/ACHT8/AWDP8/ENRAP8/ENRYP8/ENRUP8]_PELL_PTNFT_POOLED,IPEDS,completion
POOLYRSOM_PELL_ALL,outcome_years_pell.om_all_students,Years used for rolling averages of outcome metrics OM[AWDP8/ENRAP8/ENRYP8/ENRUP8]_PELL_ALL_POOLED,IPEDS,completion
POOLYRSOM_PELL_FIRSTTIME,outcome_years_pell.om_first_time,Years used for rolling averages of outcome metrics OM[AWDP8/ENRAP8/ENRYP8/ENRUP8]_PELL_FTT_POOLED,IPEDS,completion
POOLYRSOM_PELL_NOTFIRSTTIME,outcome_years_pell.om_not_first_time,Years used for rolling averages of outcome metrics OM[AWDP8/ENRAP8/ENRYP8/ENRUP8]_PELL_NFT_POOLED,IPEDS,completion
POOLYRSOM_PELL_FULLTIME,outcome_years_pell.om_full_time,Years used for rolling averages of outcome metrics OM[AWDP8/ENRAP8/ENRYP8/ENRUP8]_PELL_FT_POOLED,IPEDS,completion
POOLYRSOM_PELL_PARTTIME,outcome_years_pell.om_part_time,Years used for rolling averages of outcome metrics OM[AWDP8/ENRAP8/ENRYP8/ENRUP8]_PELL_PT_POOLED,IPEDS,completion
OMAWDP8_PELL_FTFT_POOLED_SUPP,outcome_percentage_pell_suppressed.full_time.first_time.8yr.award_pooled,"Percentage of full-time, first-time Pell Grant recipient students receiving an award within 8 years of entry, pooled in rolling averages and suppressed for small n size",IPEDS,completion
OMENRYP8_PELL_FTFT_POOLED_SUPP,outcome_percentage_pell_suppressed.full_time.first_time.8yr.still_enrolled_pooled,"Percentage of full-time, first-time Pell Grant recipient students that did not receive an award and are still enrolled at this institution 8 years after entry, pooled in rolling averages and suppressed for small n size",IPEDS,completion
OMENRAP8_PELL_FTFT_POOLED_SUPP,outcome_percentage_pell_suppressed.full_time.first_time.8yr.transfer_pooled,"Percentage of full-time, first-time Pell Grant recipient students that did not receive an award and enrolled at another institution after leaving this institution within 8 years of entry, pooled in rolling averages and suppressed for small n size",IPEDS,completion
OMENRUP8_PELL_FTFT_POOLED_SUPP,outcome_percentage_pell_suppressed.full_time.first_time.8yr.unknown_pooled,"Percentage of full-time, first-time Pell Grant recipient students that did not receive an award and whose enrollment status is unknown after leaving this institution within 8 years of entry, pooled in rolling averages and suppressed for small n size",IPEDS,completion
OMAWDP8_PELL_PTFT_POOLED_SUPP,outcome_percentage_pell_suppressed.part_time.first_time.8yr.award_pooled,"Percentage of part-time, first-time Pell Grant recipient students receiving an award within 8 years of entry, pooled in rolling averages and suppressed for small n size",IPEDS,completion
OMENRYP8_PELL_PTFT_POOLED_SUPP,outcome_percentage_pell_suppressed.part_time.first_time.8yr.still_enrolled_pooled,"Percentage of part-time, first-time Pell Grant recipient students that did not receive an award and are still enrolled at this institution 8 years after entry, pooled in rolling averages and suppressed for small n size",IPEDS,completion
OMENRAP8_PELL_PTFT_POOLED_SUPP,outcome_percentage_pell_suppressed.part_time.first_time.8yr.transfer_pooled,"Percentage of part-time, first-time Pell Grant recipient students that did not receive an award and enrolled at another institution after leaving this institution within 8 years of entry, pooled in rolling averages and suppressed for small n size",IPEDS,completion
OMENRUP8_PELL_PTFT_POOLED_SUPP,outcome_percentage_pell_suppressed.part_time.first_time.8yr.unknown_pooled,"Percentage of part-time, first-time Pell Grant recipient students that did not receive an award and whose enrollment status is unknown after leaving this institution within 8 years of entry, pooled in rolling averages and suppressed for small n size",IPEDS,completion
OMAWDP8_PELL_FTNFT_POOLED_SUPP,outcome_percentage_pell_suppressed.full_time.not_first_time.8yr.award_pooled,"Percentage of full-time, not first-time Pell Grant recipient students receiving an award within 8 years of entry, pooled in rolling averages and suppressed for small n size",IPEDS,completion
OMENRYP8_PELL_FTNFT_POOLED_SUPP,outcome_percentage_pell_suppressed.full_time.not_first_time.8yr.still_enrolled_pooled,"Percentage of full-time, not first-time Pell Grant recipient students that did not receive an award and are still enrolled at this institution 8 years after entry, pooled in rolling averages and suppressed for small n size",IPEDS,completion
OMENRAP8_PELL_FTNFT_POOLED_SUPP,outcome_percentage_pell_suppressed.full_time.not_first_time.8yr.transfer_pooled,"Percentage of full-time, not first-time Pell Grant recipient students that did not receive an award and enrolled at another institution after leaving this institution within 8 years of entry, pooled in rolling averages and suppressed for small n size",IPEDS,completion
OMENRUP8_PELL_FTNFT_POOLED_SUPP,outcome_percentage_pell_suppressed.full_time.not_first_time.8yr.unknown_pooled,"Percentage of full-time, not first-time Pell Grant recipient students that did not receive an award and whose enrollment status is unknown after leaving this institution within 8 years of entry, pooled in rolling averages and suppressed for small n size",IPEDS,completion
OMAWDP8_PELL_PTNFT_POOLED_SUPP,outcome_percentage_pell_suppressed.part_time.not_first_time.8yr.award_pooled,"Percentage of part-time, not first-time Pell Grant recipient students receiving an award within 8 years of entry, pooled in rolling averages and suppressed for small n size",IPEDS,completion
OMENRYP8_PELL_PTNFT_POOLED_SUPP,outcome_percentage_pell_suppressed.part_time.not_first_time.8yr.still_enrolled_pooled,"Percentage of part-time, not first-time Pell Grant recipient students that did not receive an award and are still enrolled at this institution 8 years after entry, pooled in rolling averages and suppressed for small n size",IPEDS,completion
OMENRAP8_PELL_PTNFT_POOLED_SUPP,outcome_percentage_pell_suppressed.part_time.not_first_time.8yr.transfer_pooled,"Percentage of part-time, not first-time Pell Grant recipient students that did not receive an award and enrolled at another institution after leaving this institution within 8 years of entry, pooled in rolling averages and suppressed for small n size",IPEDS,completion
OMENRUP8_PELL_PTNFT_POOLED_SUPP,outcome_percentage_pell_suppressed.part_time.not_first_time.8yr.unknown_pooled,"Percentage of part-time, not first-time Pell Grant recipient students that did not receive an award and whose enrollment status is unknown after leaving this institution within 8 years of entry, pooled in rolling averages and suppressed for small n size",IPEDS,completion
OMENRYP_PELL_ALL_POOLED_SUPP,outcome_percentage_pell_suppressed.all_students.8yr.still_enrolled_pooled,"Percentage of all Pell Grant recipient students that did not receive an award and are still enrolled at this institution 8 years after entry, pooled in rolling averages and suppressed for small n size",IPEDS,completion
OMENRAP_PELL_ALL_POOLED_SUPP,outcome_percentage_pell_suppressed.all_students.8yr.transfer_pooled,"Percentage of all Pell Grant recipient students that did not receive an award and enrolled at another institution after leaving this institution within 8 years of entry, pooled in rolling averages and suppressed for small n size",IPEDS,completion
OMAWDP8_PELL_ALL_POOLED_SUPP,outcome_percentage_pell_suppressed.all_students.8yr.award_pooled,"Percentage of all Pell Grant recipient students receiving an award within 8 years of entry, pooled in rolling averages and suppressed for small n size",IPEDS,completion
OMENRUP_PELL_ALL_POOLED_SUPP,outcome_percentage_pell_suppressed.all_students.8yr.unknown_pooled,"Percentage of all Pell Grant recipient students that did not receive an award and whose enrollment status is unknown after leaving this institution within 8 years of entry, pooled in rolling averages and suppressed for small n size",IPEDS,completion
OMENRYP_PELL_FTT_POOLED_SUPP,outcome_percentage_pell_suppressed.first_time.8yr.still_enrolled_pooled,"Percentage of first-time Pell Grant recipient students that did not receive an award and are still enrolled at this institution 8 years after entry, pooled in rolling averages and suppressed for small n size",IPEDS,completion
OMENRAP_PELL_FTT_POOLED_SUPP,outcome_percentage_pell_suppressed.first_time.8yr.transfer_pooled,"Percentage of first-time Pell Grant recipient students that did not receive an award and enrolled at another institution after leaving this institution within 8 years of entry, pooled in rolling averages and suppressed for small n size",IPEDS,completion
OMAWDP8_PELL_FTT_POOLED_SUPP,outcome_percentage_pell_suppressed.first_time.8yr.award_pooled,"Percentage of first-time Pell Grant recipient students receiving an award within 8 years of entry, pooled in rolling averages and suppressed for small n size",IPEDS,completion
OMENRUP_PELL_FTT_POOLED_SUPP,outcome_percentage_pell_suppressed.first_time.8yr.unknown_pooled,"Percentage of first-time Pell Grant recipient students that did not receive an award and whose enrollment status is unknown after leaving this institution within 8 years of entry, pooled in rolling averages and suppressed for small n size",IPEDS,completion
OMENRYP_PELL_NFT_POOLED_SUPP,outcome_percentage_pell_suppressed.not_first_time.8yr.still_enrolled_pooled,"Percentage of not first-time Pell Grant recipient students that did not receive an award and are still enrolled at this institution 8 years after entry, pooled in rolling averages and suppressed for small n size",IPEDS,completion
OMENRAP_PELL_NFT_POOLED_SUPP,outcome_percentage_pell_suppressed.not_first_time.8yr.transfer_pooled,"Percentage of not first-time Pell Grant recipient students that did not receive an award and enrolled at another institution after leaving this institution within 8 years of entry, pooled in rolling averages and suppressed for small n size",IPEDS,completion
OMAWDP8_PELL_NFT_POOLED_SUPP,outcome_percentage_pell_suppressed.not_first_time.8yr.award_pooled,"Percentage of not first-time Pell Grant recipient students receiving an award within 8 years of entry, pooled in rolling averages and suppressed for small n size",IPEDS,completion
OMENRUP_PELL_NFT_POOLED_SUPP,outcome_percentage_pell_suppressed.not_first_time.8yr.unknown_pooled,"Percentage of not first-time Pell Grant recipient students that did not receive an award and whose enrollment status is unknown after leaving this institution within 8 years of entry, pooled in rolling averages and suppressed for small n size",IPEDS,completion
OMENRYP_PELL_FT_POOLED_SUPP,outcome_percentage_pell_suppressed.full_time.8yr.still_enrolled_pooled,"Percentage of full-time Pell Grant recipient students that did not receive an award and are still enrolled at this institution 8 years after entry, pooled in rolling averages and suppressed for small n size",IPEDS,completion
OMENRAP_PELL_FT_POOLED_SUPP,outcome_percentage_pell_suppressed.full_time.8yr.transfer_pooled,"Percentage of full-time Pell Grant recipient students that did not receive an award and enrolled at another institution after leaving this institution within 8 years of entry, pooled in rolling averages and suppressed for small n size",IPEDS,completion
OMAWDP8_PELL_FT_POOLED_SUPP,outcome_percentage_pell_suppressed.full_time.8yr.award_pooled,"Percentage of full-time Pell Grant recipient students receiving an award within 8 years of entry, pooled in rolling averages and suppressed for small n size",IPEDS,completion
OMENRUP_PELL_FT_POOLED_SUPP,outcome_percentage_pell_suppressed.full_time.8yr.unknown_pooled,"Percentage of full-time Pell Grant recipient students that did not receive an award and whose enrollment status is unknown after leaving this institution within 8 years of entry, pooled in rolling averages and suppressed for small n size",IPEDS,completion
OMENRYP_PELL_PT_POOLED_SUPP,outcome_percentage_pell_suppressed.part_time.8yr.still_enrolled_pooled,"Percentage of part-time Pell Grant recipient students that did not receive an award and are still enrolled at this institution 8 years after entry, pooled in rolling averages and suppressed for small n size",IPEDS,completion
OMENRAP_PELL_PT_POOLED_SUPP,outcome_percentage_pell_suppressed.part_time.8yr.transfer_pooled,"Percentage of part-time Pell Grant recipient students that did not receive an award and enrolled at another institution after leaving this institution within 8 years of entry, pooled in rolling averages and suppressed for small n size",IPEDS,completion
OMAWDP8_PELL_PT_POOLED_SUPP,outcome_percentage_pell_suppressed.part_time.8yr.award_pooled,"Percentage of part-time Pell Grant recipient students receiving an award within 8 years of entry, pooled in rolling averages and suppressed for small n size",IPEDS,completion
OMENRUP_PELL_PT_POOLED_SUPP,outcome_percentage_pell_suppressed.part_time.8yr.unknown_pooled,"Percentage of part-time Pell Grant recipient students that did not receive an award and whose enrollment status is unknown after leaving this institution within 8 years of entry, pooled in rolling averages and suppressed for small n size",IPEDS,completion
BBRR1_FED_IND_N,1_yr_bb_fed_repayment.independent.count,Independent federal student loan borrower-based 1-year borrower count,NSLDS,repayment
BBRR1_FED_IND_DFLT,1_yr_bb_fed_repayment.independent.default,Percentage of independent federal student loan borrowers in default after 1 year,NSLDS,repayment
BBRR1_FED_IND_DLNQ,1_yr_bb_fed_repayment.independent.delinquent,Percentage of independent federal student loan borrowers in delinquency after 1 year,NSLDS,repayment
BBRR1_FED_IND_FBR,1_yr_bb_fed_repayment.independent.forbearance,Percentage of independent federal student loan borrowers in forbearance after 1 year,NSLDS,repayment
BBRR1_FED_IND_DFR,1_yr_bb_fed_repayment.independent.deferment,Percentage of independent federal student loan borrowers in deferment after 1 year,NSLDS,repayment
BBRR1_FED_IND_NOPROG,1_yr_bb_fed_repayment.independent.noprogress,Percentage of independent federal student loan borrowers not making progress after 1 year,NSLDS,repayment
BBRR1_FED_IND_MAKEPROG,1_yr_bb_fed_repayment.independent.makingprogress,Percentage of independent federal student loan borrowers making progress after 1 year,NSLDS,repayment
BBRR1_FED_IND_PAIDINFULL,1_yr_bb_fed_repayment.independent.fullypaid,Percentage of independent federal student loan borrowers paid in full after 1 year,NSLDS,repayment
BBRR1_FED_IND_DISCHARGE,1_yr_bb_fed_repayment.independent.discharge,Percentage of independent federal student loan borrowers with all loans discharged after 1 year,NSLDS,repayment
BBRR1_FED_DEP_N,1_yr_bb_fed_repayment.dependent.count,Dependent federal student loan borrower-based 1-year borrower count,NSLDS,repayment
BBRR1_FED_DEP_DFLT,1_yr_bb_fed_repayment.dependent.default,Percentage of dependent federal student loan borrowers in default after 1 year,NSLDS,repayment
BBRR1_FED_DEP_DLNQ,1_yr_bb_fed_repayment.dependent.delinquent,Percentage of dependent federal student loan borrowers in delinquency after 1 year,NSLDS,repayment
BBRR1_FED_DEP_FBR,1_yr_bb_fed_repayment.dependent.forbearance,Percentage of dependent federal student loan borrowers in forbearance after 1 year,NSLDS,repayment
BBRR1_FED_DEP_DFR,1_yr_bb_fed_repayment.dependent.deferment,Percentage of dependent federal student loan borrowers in deferment after 1 year,NSLDS,repayment
BBRR1_FED_DEP_NOPROG,1_yr_bb_fed_repayment.dependent.noprogress,Percentage of dependent federal student loan borrowers not making progress after 1 year,NSLDS,repayment
BBRR1_FED_DEP_MAKEPROG,1_yr_bb_fed_repayment.dependent.makingprogress,Percentage of dependent federal student loan borrowers making progress after 1 year,NSLDS,repayment
BBRR1_FED_DEP_PAIDINFULL,1_yr_bb_fed_repayment.dependent.fullypaid,Percentage of dependent federal student loan borrowers paid in full after 1 year,NSLDS,repayment
BBRR1_FED_DEP_DISCHARGE,1_yr_bb_fed_repayment.dependent.discharge,Percentage of dependent federal student loan borrowers with all loans discharged after 1 year,NSLDS,repayment
BBRR1_FED_PELL_N,1_yr_bb_fed_repayment.pell.count,Pell Grant recipient federal student loan borrower-based 1-year borrower count,NSLDS,repayment
BBRR1_FED_PELL_DFLT,1_yr_bb_fed_repayment.pell.default,Percentage of Pell Grant recipient federal student loan borrowers in default after 1 year,NSLDS,repayment
BBRR1_FED_PELL_DLNQ,1_yr_bb_fed_repayment.pell.delinquent,Percentage of Pell Grant recipient federal student loan borrowers in delinquency after 1 year,NSLDS,repayment
BBRR1_FED_PELL_FBR,1_yr_bb_fed_repayment.pell.forbearance,Percentage of Pell Grant recipient federal student loan borrowers in forbearance after 1 year,NSLDS,repayment
BBRR1_FED_PELL_DFR,1_yr_bb_fed_repayment.pell.deferment,Percentage of Pell Grant recipient federal student loan borrowers in deferment after 1 year,NSLDS,repayment
BBRR1_FED_PELL_NOPROG,1_yr_bb_fed_repayment.pell.noprogress,Percentage of Pell Grant recipient federal student loan borrowers not making progress after 1 year,NSLDS,repayment
BBRR1_FED_PELL_MAKEPROG,1_yr_bb_fed_repayment.pell.makingprogress,Percentage of Pell Grant recipient federal student loan borrowers making progress after 1 year,NSLDS,repayment
BBRR1_FED_PELL_PAIDINFULL,1_yr_bb_fed_repayment.pell.fullypaid,Percentage of Pell Grant recipient federal student loan borrowers paid in full after 1 year,NSLDS,repayment
