VARIABLE NAME,developer-friendly name,NAME OF DATA ELEMENT,SOURCE,dev-category
EARN_NE_MDN_3YR,cip_4_digit.earnings.highest.3_yr.overall_median_earnings,Median earnings of graduates not enrolled 3 years after completing highest credential,Treasury,programs
EARN_COUNT_WNE_3YR,cip_4_digit.earnings.highest.3_yr.working_not_enrolled.overall_count,Number of graduates working and not enrolled 3 years after completing highest credential,Treasury,programs
EARN_CNTOVER150_3YR,cip_4_digit.earnings.highest.3_yr.overall_count_over_poverty_line,Number of graduates working and not enrolled who earned more than 150% of the single-person household poverty threshold 3 years after completing highest credential.,Treasury,programs
EARN_COUNT_PELL_NE_3YR,cip_4_digit.earnings.highest.3_yr.not_enrolled.pell_count,Number of graduates who received a Pell Grant and were not enrolled 3 years after completing highest credential,Treasury,programs
EARN_PELL_NE_MDN_3YR,cip_4_digit.earnings.highest.3_yr.pell_median_earnings,Median earnings of graduates who received a Pell Grant and were not enrolled 3 years after completing highest credential,Treasury,programs
EARN_COUNT_NOPELL_NE_3YR,cip_4_digit.earnings.highest.3_yr.not_enrolled.nonpell_count,Number of graduates who did not receive a Pell Grant and were not enrolled 3 years after completing highest credential,Treasury,programs
EARN_NOPELL_NE_MDN_3YR,cip_4_digit.earnings.highest.3_yr.nonpell_median_earnings,Median earnings of graduates who did not receive a Pell Grant and were not enrolled 3 years after completing highest credential,Treasury,programs
EARN_COUNT_MALE_NE_3YR,cip_4_digit.earnings.highest.3_yr.not_enrolled.male_count,Number of male graduates not enrolled 3 years after completing highest credential,Treasury,programs
EARN_MALE_NE_MDN_3YR,cip_4_digit.earnings.highest.3_yr.male_median_earnings,Median earnings of male graduates not enrolled 3 years after completing highest credential,Treasury,programs
EARN_COUNT_NOMALE_NE_3YR,cip_4_digit.earnings.highest.3_yr.not_enrolled.nonmale_count,Number of non-male graduates not enrolled 3 years after completing highest credential,Treasury,programs
EARN_NOMALE_NE_MDN_3YR,cip_4_digit.earnings.highest.3_yr.nonmale_median_earnings,Median earnings of non-male graduates not enrolled 3 years after completing highest credential,Treasury,programs
